step,autopilot_on,pilot_pitch_cmd,pilot_roll_cmd,virus_pitch_cmd,virus_roll_cmd,wind_speed_mph,wind_bearing_deg,head_wind_component_mph,right_wind_component_mph,final_pitch_cmd,final_roll_cmd
11,False,1.7923290845877418,3.6316537396934976,-14.918903432232897,14.847132293178984,5.2962405108237025,189.9703371013918,1.6340203607790882,-5.037870682049063,1.7923290845877418,3.6316537396934976
12,False,1.7923290845877418,3.6316537396934976,-14.9189160798835,14.847009094576986,5.316240510823702,190.27033710139176,1.6666460883481513,-5.0482377108370065,1.7923290845877418,3.6316537396934976
13,False,1.7923290845877418,3.6316537396934976,-14.918929810175229,14.846875338580274,5.336240510823702,190.57033710139171,1.69942500429067,-5.058400680466867,1.7923290845877418,3.6316537396934976
14,False,1.7923290845877418,3.6316537396934976,-14.918944607507498,14.846731078009123,5.356240510823701,190.87033710139167,1.7323558634408565,-5.068358271885584,1.7923290845877418,3.6316537396934976
15,False,1.7923290845877418,3.6316537396934976,-14.918960455767044,14.846576355959863,5.376240510823701,191.17033710139162,1.7654374110244226,-5.078109173499253,1.7923290845877418,3.6316537396934976
16,False,1.7923290845877418,3.6316537396934976,-14.918977338350945,14.84641120603528,5.3962405108237,191.47033710139158,1.7986683827026224,-5.087652081237549,1.7923290845877418,3.6316537396934976
17,False,1.7923290845877418,3.6316537396934976,-14.918995238186616,14.84623565254147,5.4162405108237,191.77033710139153,1.8320475046167155,-5.096985698617904,1.7923290845877418,3.6316537396934976
18,False,1.7923290845877418,3.6316537396934976,-14.919014137753692,14.84604971067433,5.4362405108236995,192.0703371013915,1.8655734934328383,-5.106108736809422,1.7923290845877418,3.6316537396934976
19,False,1.7923290845877418,3.6316537396934976,-14.91903401910601,14.84585338665604,5.456240510823699,192.37033710139144,1.8992450563872814,-5.115019914696533,1.7923290845877418,3.6316537396934976
20,False,1.7923290845877418,3.6316537396934976,-14.919054863892983,14.845646677865457,5.476240510823699,192.6703371013914,1.9330608913321745,-5.12371795894238,1.7923290845877418,3.6316537396934976
21,False,1.7923290845877418,3.6316537396934976,-14.919076653384518,14.845429572926392,5.496240510823698,192.97033710139135,1.967019686781577,-5.132201604051935,1.7923290845877418,3.6316537396934976
22,False,1.7923290845877418,3.6316537396934976,-14.91909936849027,14.84520205179196,5.516240510823698,193.2703371013913,2.001120121957972,-5.140469592434859,1.7923290845877418,3.6316537396934976
23,False,1.7923290845877418,3.6316537396934976,-14.919122989784887,14.844964085787563,5.536240510823697,193.57033710139126,2.0353608668391594,-5.148520674468073,1.7923290845877418,3.6316537396934976
24,False,1.7923290845877418,3.6316537396934976,-14.919147497529583,14.844715637637794,5.556240510823697,193.87033710139121,2.0697405822055597,-5.156353608558064,1.7923290845877418,3.6316537396934976
25,False,1.7923290845877418,3.6316537396934976,-14.919172871695364,14.84445666147563,5.5762405108236965,194.17033710139117,2.104257919687899,-5.163967161202914,1.7923290845877418,3.6316537396934976
26,False,1.7923290845877418,3.6316537396934976,-14.919199091985172,14.844187102824742,5.596240510823696,194.47033710139112,2.1389115218153085,-5.171360107054041,1.7923290845877418,3.6316537396934976
27,False,1.7923290845877418,3.6316537396934976,-14.91922613785779,14.843906898556456,5.616240510823696,194.77033710139108,2.1737000220638083,-5.178531228977673,1.7923290845877418,3.6316537396934976
28,False,1.7923290845877418,3.6316537396934976,-14.919253988548528,14.843615976832847,5.636240510823695,195.07033710139103,2.208622044905194,-5.185479318116017,1.7923290845877418,3.6316537396934976
29,False,1.7923290845877418,3.6316537396934976,-14.919282623092629,14.843314257023005,5.656240510823695,195.370337101391,2.2436762058563047,-5.19220317394816,1.7923290845877418,3.6316537396934976
30,False,1.7923290845877418,3.6316537396934976,-14.919312020346844,14.843001649599092,5.676240510823694,195.67033710139094,2.278861111528694,-5.198701604350671,1.7923290845877418,3.6316537396934976
31,False,1.7923290845877418,3.6316537396934976,-14.919342159012892,14.842678056002823,5.696240510823694,195.9703371013909,2.314175359678679,-5.20497342565791,1.7923290845877418,3.6316537396934976
32,False,1.7923290845877418,3.6316537396934976,-14.919373017656035,14.842343368506294,5.7162405108236936,196.27033710139085,2.349617539257785,-5.211017462722046,1.7923290845877418,3.6316537396934976
33,False,1.7923290845877418,3.6316537396934976,-14.919404574728622,14.841997470025628,5.736240510823693,196.5703371013908,2.3851862304635683,-5.216832548972782,1.7923290845877418,3.6316537396934976
34,False,1.3923290845877418,3.2316537396934977,-14.919436808589467,14.841640233934983,5.756240510823693,196.87033710139076,2.4208800047908334,-5.22241752647677,1.3923290845877418,3.2316537396934977
